Taxonomy,Phylum,Class,Order,Family,Genus,Species
Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Thermotomaculum;uncultured,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Thermotomaculum,uncultured
Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces
Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;uncultured,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured
Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;unidentified,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unidentified
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;human,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,human
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;metagenome,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,metagenome
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;uncultured,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,uncultured
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;gut,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,gut
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enorma;Collinsella,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,Collinsella
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;Coriobacteriaceae,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,Coriobacteriaceae
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Denitrobacterium;Denitrobacterium,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Denitrobacterium,Denitrobacterium
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Eggerthella,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Eggerthella
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;Slackia,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,Slackia
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;unidentified,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,unidentified
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;uncultured;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,uncultured,uncultured
Actinobacteria;Coriobacteriia;OPB41;uncultured,Actinobacteria,Coriobacteriia,OPB41,uncultured,,
Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,
Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas
Actinobacteria;Micrococcales;Microbacteriaceae;Galbitalea;uncultured,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,uncultured
Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus
Actinobacteria;Micrococcales;Micrococcaceae;Rothia;uncultured,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,uncultured
Actinobacteria;Micrococcales;Promicromonosporaceae;uncultured;uncultured,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,uncultured,uncultured
Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora
Actinobacteria;PeM15;metagenome,Actinobacteria,PeM15,metagenome,,,
Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces,
Atribacteria;JS1;terrestrial,Atribacteria,JS1,terrestrial,,,
Bacteroidetes,Bacteroidetes,,,,,
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;bacterium,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,bacterium
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;gut,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,gut
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;metagenome,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,metagenome
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unidentified,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unidentified
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales,,
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Candidatus,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus,
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;uncultured;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,uncultured,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;gut,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,gut,
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,uncultured,
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Prevotella
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;gut,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,gut
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;gut,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,gut
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae,
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,uncultured,Prevotella
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,uncultured,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured;metagenome,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,metagenome
